| # | Engine File | Phase0 Equivalent | Overlap Description | Migration Action |
|---|------------|-------------------|---------------------|------------------|
| 1 | CombatAI.java (742 lines) | phase0/combat/CombatRotation + 6 class-specific rotations (Fighter, Mage, Archer, Healer, Buffer) + RotationFactory | CombatAI.makeDecision() produces CombatDecision; phase0 rotations produce skill IDs via selectSkill(). Both handle target selection + skill rotation. CombatAI is monolithic; phase0 is interface-driven + factory pattern. | Migrate callers to phase0 rotations, then archive CombatAI |
| 2 | QuestAI.java (252 lines) | phase0/quest/QuestExecutor + QuestProgressTracker + QuestDatabase | QuestAI.makeDecision() returns QuestDecision; QuestExecutor runs a state machine (IDLE→ACCEPT→NAVIGATE→KILL/COLLECT→RETURN→COMPLETE). Both drive quest flow but QuestExecutor is far more granular. | Migrate to QuestExecutor, archive QuestAI |
| 3 | MerchantAI.java (202 lines) | phase0/town/BuyManager + SellManager + TownBehaviorEngine + VendorDatabase | MerchantAI handles buy/sell decisions; phase0 splits into BuyManager (buying), SellManager (selling), TownBehaviorEngine (town navigation). Phase0 is more structured. | Migrate to phase0 town package, archive MerchantAI |
| 4 | SocialAI.java (242 lines) | phase0/social/SocialBehaviorEngine + ChatResponder + PartyInviteHandler | SocialAI.makeDecision() returns SocialDecision; SocialBehaviorEngine drives party + chat + interaction. Phase0 has dedicated ChatResponder for chat, PartyInviteHandler for invites. | Migrate to phase0 social package, archive SocialAI |
| 5 | AIBrain.java (262 lines) | phase0/brain/Phase0Brain + StateMachine + ClassPreset | AIBrain is the legacy decision loop (handleCombat/handleQuest/handleMerchant/handleSocial). Phase0Brain uses FSM + class presets. BotPlayController is the new decision loop. | Migrate to Phase0Brain, archive AIBrain |
| 6 | AggroManager.java (344 lines) | phase0/combat/AggroTracker | Both track aggro/threat on entities. AggroManager is more complex (344 lines); AggroTracker is lighter (34 lines). | Consolidate into AggroTracker, archive AggroManager |
| 7 | CombatFramePlanner.java (120 lines) | phase0/play/BotPlayController + GoalAction | CombatFramePlanner.plan() maps decisions to wire packets; BotPlayController does the same for all action types. Overlapping frame-planning role. | Migrate to BotPlayController, archive CombatFramePlanner |
| 8 | QuestFramePlanner.java (58 lines) | phase0/play/QuestDialogDriver | Both translate quest decisions into NPC dialog packets. QuestDialogDriver is more specific and integrated. | Migrate to QuestDialogDriver, archive QuestFramePlanner |
| 9 | GoalTree.java (126 lines) | phase0/play/GoalDecision + GoalAction + PlayerGoal | GoalTree manages short/long-term goals; phase0 splits into GoalDecision (decision), GoalAction (action), PlayerGoal (goal enum). | Migrate to phase0 play package, archive GoalTree |
| 10 | ActivityScheduler.java (100 lines) | phase0/play/BotPlayController (activity rotation) | ActivityScheduler rotates activities on schedule; BotPlayController has integrated activity rotation. | Migrate to BotPlayController, archive ActivityScheduler |
| 11 | PKDecision.java (112 lines) | phase0/combat/TargetSelector | PKDecision handles PK karma/targeting decisions; TargetSelector handles all target selection including moral targeting. | Consolidate into TargetSelector, archive PKDecision |
| 12 | QuestGoal.java (77 lines) | phase0/play/QuestGoalPlanner | Both manage quest goal tracking and planning. QuestGoalPlanner is more integrated with the phase0 play loop. | Migrate to QuestGoalPlanner, archive QuestGoal |
| 13 | QuestState.java (72 lines) | phase0/quest/QuestProgressTracker | Both track quest progress/state. QuestProgressTracker is more granular. | Migrate to QuestProgressTracker, archive QuestState |
| 14 | CombatState.java (199 lines) | phase0/combat/CooldownTracker + TargetScore | CombatState holds combat state (cooldowns, target info); phase0 splits into CooldownTracker + TargetScore. | Migrate to phase0 combat, archive CombatState |
| 15 | CombatDecision.java (120 lines) | phase0/play/GoalDecision | CombatDecision is a decision object; GoalDecision is the phase0 generic decision. Both carry action + target info. | Migrate to GoalDecision, archive CombatDecision |
| 16 | QuestDecision.java (112 lines) | phase0/play/GoalDecision | QuestDecision is a quest-specific decision object; GoalDecision is generic. | Migrate to GoalDecision, archive QuestDecision |
| 17 | MerchantDecision.java (81 lines) | phase0/play/GoalDecision | MerchantDecision is a trade-specific decision; GoalDecision is generic. | Migrate to GoalDecision, archive MerchantDecision |
| 18 | SocialDecision.java (99 lines) | phase0/play/GoalDecision | SocialDecision is a social-specific decision; GoalDecision is generic. | Migrate to GoalDecision, archive SocialDecision |
| 19 | HuntingRotation.java (10 lines, DEAD) | phase0/farm/OptimalSpotSelector | Both select hunting zones. HuntingRotation is a 10-line stub; OptimalSpotSelector is a real implementation. | Delete HuntingRotation (already dead) |
| 20 | DeathPenaltyAI.java (22 lines, DEAD) | phase0/death/DeathHandler + RecoveryFlow | Both handle death consequences. DeathPenaltyAI is a stub; DeathHandler is a real implementation. | Delete DeathPenaltyAI (already dead) |
| 21 | SafeZoneManager.java (115 lines, DEAD) | phase0/death/RecoveryFlow + RespawnManager | Both manage safe zone logic. SafeZoneManager is dead; phase0 death package handles recovery. | Delete SafeZoneManager (already dead) |
| 22 | MovementOptimizer.java (7 lines, DEAD) | phase0/movement/MovementController + GeoPathfinder | MovementOptimizer is a 7-line stub; phase0 movement is a full package. | Delete MovementOptimizer (already dead) |
| 23 | AntiStuckDetection.java (12 lines, DEAD) | phase0/movement/StuckDetector | Both detect stuck states. AntiStuckDetection is a stub; StuckDetector is real. | Delete AntiStuckDetection (already dead) |
| 24 | LootDistributor.java (11 lines, DEAD) | phase0/party/PartyLootDistributor + phase0/inventory/AutoLootHandler | Both handle loot distribution. LootDistributor is a stub; phase0 has two real implementations. | Delete LootDistributor (already dead) |
| 25 | NewbieGuideAI.java (34 lines, DEAD) | phase0/guide/RaceGuide + HuntZone | Both guide new players. NewbieGuideAI is dead; phase0 guide package is real. | Delete NewbieGuideAI (already dead) |
| 26 | VillageMasterAI.java (35 lines, DEAD) | phase0/quest/ClassChangeManager | Both handle class changes. VillageMasterAI is dead; ClassChangeManager is real. | Delete VillageMasterAI (already dead) |
| 27 | StateMonitor.java (25 lines, DEAD) | phase0/GameStateMirror | Both mirror/monitor game state. StateMonitor is dead; GameStateMirror is real. | Delete StateMonitor (already dead) |
| 28 | LineOfSight.java (214 lines, DEAD) | phase0/movement/GeoPathfinder (geometry checks) | LineOfSight does geometric LOS checks; GeoPathfinder handles pathfinding with LOS. | Delete LineOfSight (already dead) |
| 29 | ContentUnlocker.java (46 lines, DEAD) | phase0/quest/LevelingPlanner | Both gate content by level. ContentUnlocker is dead; LevelingPlanner is real. | Delete ContentUnlocker (already dead) |
| 30 | EventAwareAI.java (39 lines, DEAD) | phase0/director/DirectorAI | Both handle event awareness. EventAwareAI is dead; DirectorAI is real. | Delete EventAwareAI (already dead) |
