### D.1: Stub Files (18 files — tiny stubs with 0 external references)

| # | File | Lines | Phase0 Equivalent |
|---|------|-------|-------------------|
| 1 | BossTactics.java | 9 | no phase0 equivalent |
| 2 | CastleTaxPlanner.java | 16 | no phase0 equivalent |
| 3 | ClanHallDefense.java | 11 | no phase0 equivalent |
| 4 | ColiseumAI.java | 7 | no phase0 equivalent |
| 5 | DungeonPathfinder.java | 9 | no phase0 equivalent |
| 6 | EscortAI.java | 7 | no phase0 equivalent |
| 7 | GuildResponseAI.java | 20 | no phase0 equivalent |
| 8 | HealerSacrificeAI.java | 16 | no phase0 equivalent |
| 9 | HeroTitleOptimizer.java | 15 | no phase0 equivalent |
| 10 | InstanceManager.java | 7 | no phase0 equivalent |
| 11 | KamaelAI.java | 20 | no phase0 equivalent |
| 12 | MentorSystemAI.java | 19 | no phase0 equivalent |
| 13 | RiftAI.java | 16 | no phase0 equivalent |
| 14 | SepulchersAI.java | 10 | no phase0 equivalent |
| 15 | SiegeExitManager.java | 14 | no phase0 equivalent |
| 16 | SiegePositioning.java | 15 | no phase0 equivalent |
| 17 | SoloGroupAI.java | 20 | no phase0 equivalent |
| 18 | VendettaTracker.java | 17 | no phase0 equivalent |

### D.2: Dead Files (38 files — non-trivial size but 0 external references)

| # | File | Lines | Phase0 Equivalent |
|---|------|-------|-------------------|
| 1 | AIPlayerActionExecutor.java | 122 | no phase0 equivalent |
| 2 | AIPlayerSpawnController.java | 80 | no phase0 equivalent |
| 3 | AcademyAI.java | 29 | no phase0 equivalent |
| 4 | ArmorProficiency.java | 24 | no phase0 equivalent |
| 5 | AttributeOptimizer.java | 28 | no phase0 equivalent |
| 6 | AuctionAI.java | 35 | no phase0 equivalent |
| 7 | BehavioralSimulator.java | 38 | no phase0 equivalent |
| 8 | BuddySystemAI.java | 30 | no phase0 equivalent |
| 9 | CastleManagement.java | 39 | no phase0 equivalent |
| 10 | CastleStrategy.java | 30 | no phase0 equivalent |
| 11 | ClanHallRegister.java | 22 | no phase0 equivalent |
| 12 | ClanHallSiegeAI.java | 34 | no phase0 equivalent |
| 13 | ClanMateAI.java | 28 | no phase0 equivalent |
| 14 | ClassDecisionTree.java | 36 | no phase0 equivalent |
| 15 | CommunityChatAI.java | 28 | no phase0 equivalent |
| 16 | CrossServerAI.java | 31 | no phase0 equivalent |
| 17 | DifficultyScaler.java | 25 | no phase0 equivalent |
| 18 | DuelAnalyzer.java | 28 | no phase0 equivalent |
| 19 | EmergencyEscapeAI.java | 37 | no phase0 equivalent |
| 20 | ExpansionHooksAI.java | 23 | no phase0 equivalent |
| 21 | FishingTournamentAI.java | 28 | no phase0 equivalent |
| 22 | HumanBehaviorSimulator.java | 29 | no phase0 equivalent |
